Rank Tier,Doubles,Standard,Solo Duel,Solo Standard,Rumble,Dropshot,Hoops,Snow Day
Bronze 1,3.45,0.82,1.30,1.04,0.09,0.02,0.00,0.03
Bronze 2,4.57,1.49,4.48,2.85,0.37,0.10,0.02,0.16
Bronze 3,6.19,2.72,7.51,3.88,0.86,0.33,0.11,0.45
Silver 1,7.54,4.38,10.68,5.64,1.73,0.90,0.45,1.05
Silver 2,8.12,6.12,12.19,7.27,3.15,1.99,1.37,2.00
Silver 3,8.02,7.40,12.21,8.64,4.99,3.69,3.18,3.45
Gold 1,7.92,8.41,11.87,10.07,7.37,6.13,6.02,5.44
Gold 2,7.24,8.49,9.96,10.21,9.48,8.90,9.22,7.62
Gold 3,8.46,10.47,7.94,9.73,10.71,11.24,11.62,9.53
Platinum 1,7.77,9.96,6.52,9.18,11.76,12.86,13.51,11.36
Platinum 2,6.39,8.30,4.75,7.75,11.39,12.98,13.38,12.01
Platinum 3,5.20,6.64,3.37,6.16,9.91,11.78,11.66,11.29
Diamond 1,4.58,5.84,2.47,6.39,8.59,10.01,9.67,10.39
Diamond 2,3.69,4.90,1.67,4.31,6.53,7.38,7.18,8.41
Diamond 3,4.22,5.90,1.12,2.82,5.69,6.25,6.18,7.66
Champion 1,3.16,4.18,1.02,2.03,3.80,3.23,3.53,4.81
Champion 2,1.94,2.36,0.58,1.33,2.27,1.53,1.90,2.86
Champion 3,1.07,1.17,0.26,0.63,0.93,0.56,0.73,1.16
Grand Champion,0.47,0.46,0.11,0.07,0.40,0.10,0.26,0.31
