Rank Tier,Solo Duel,Solo Standard,Standard,Doubles
Bronze 1,3.46,2.88,1.47,5.47
Bronze 2,3.99,3.15,1.94,5.17
Bronze 3,6.62,4.45,3.51,7.31
Silver 1,10.16,6.38,5.68,9.29
Silver 2,12.15,7.99,8.07,10.24
Silver 3,12.60,9.62,9.76,10.04
Gold 1,12.19,11.00,10.98,9.61
Gold 2,10.10,10.73,10.71,8.38
Gold 3,10.36,9.87,12.61,9.15
Platinum 1,7.66,9.20,10.97,7.69
Platinum 2,4.74,9.21,8.12,5.59
Platinum 3,2.73,6.29,5.60,3.94
Diamond 1,1.61,4.30,4.22,3.02
Diamond 2,0.84,2.43,2.69,1.99
Diamond 3,0.43,1.32,2.16,1.63
Champion 1,0.25,0.83,1.06,0.97
Champion 2,0.06,0.23,0.31,0.32
Champion 3,0.02,0.07,0.10,0.12
Grand Champion,0.02,0.03,0.05,0.08
