Rank Tier,Standard,Doubles,Solo Duel,Solo Standard
Bronze 1,1.60,5.97,2.65,2.50
Bronze 2,2.01,5.30,3.62,2.98
Bronze 3,3.59,7.35,6.12,4.17
Silver 1,5.71,9.16,9.46,5.98
Silver 2,7.98,9.91,11.79,7.60
Silver 3,9.51,9.66,12.51,9.17
Gold 1,10.57,9.20,12.34,10.54
Gold 2,10.27,8.01,10.54,10.62
Gold 3,12.05,8.82,8.50,9.84
Platinum 1,10.59,7.49,6.88,9.28
Platinum 2,8.05,5.61,6.46,9.57
Platinum 3,5.74,4.10,4.00,6.79
Diamond 1,4.50,3.28,2.41,4.79
Diamond 2,3.10,2.29,1.36,2.87
Diamond 3,2.72,2.06,0.77,1.74
Champion 1,1.43,1.24,0.47,1.20
Champion 2,0.39,0.36,0.08,0.26
Champion 3,0.12,0.12,0.02,0.07
Grand Champion,0.06,0.08,0.02,0.03
