Rank Tier,Standard,Doubles,Solo Duel,Solo Standard,Rumble,Dropshot,Hoops,Snow Day
Bronze 1,0.98,3.78,1.09,1.16,0.07,0.01,0.00,0.04
Bronze 2,1.72,5.01,3.83,3.05,0.33,0.09,0.03,0.18
Bronze 3,3.12,6.92,6.83,4.10,0.80,0.29,0.11,0.52
Silver 1,5.05,8.57,10.30,5.87,1.71,0.86,0.43,1.21
Silver 2,7.04,9.26,12.27,7.48,3.19,1.91,1.27,2.25
Silver 3,8.45,9.03,12.52,8.79,5.10,3.50,2.75,3.86
Gold 1,9.57,8.79,12.42,10.28,7.57,6.05,5.31,5.80
Gold 2,9.50,7.79,10.42,10.27,9.79,8.77,8.27,7.94
Gold 3,11.33,8.74,8.23,9.58,11.08,11.12,10.65,9.74
Platinum 1,10.50,7.75,6.79,9.18,12.58,13.24,13.35,11.85
Platinum 2,8.39,6.02,4.91,7.62,12.16,13.46,13.88,12.44
Platinum 3,6.31,4.66,3.44,6.02,10.38,12.37,12.87,11.55
Diamond 1,5.31,3.93,2.43,6.16,8.62,10.28,10.80,10.19
Diamond 2,3.97,2.92,1.68,4.23,6.78,7.82,8.12,8.52
Diamond 3,4.12,2.94,1.08,2.69,5.10,5.94,6.58,7.03
Champion 1,2.61,2.02,0.89,1.83,2.77,2.72,3.31,3.84
Champion 2,1.22,1.05,0.49,1.04,1.33,1.11,1.50,2.04
Champion 3,0.53,0.52,0.20,0.50,0.36,0.28,0.39,0.52
Grand Champion,0.29,0.32,0.16,0.17,0.28,0.17,0.38,0.48
